Date,Price
11/11/24,804.7
8/11/24,805.45
7/11/24,819.75
6/11/24,839.7
5/11/24,835.65
4/11/24,824.1
1/11/24,843.45
31-10-2024,834.05
30-10-2024,840.2
29-10-2024,842.75
28-10-2024,878.45
25-10-2024,864.3
24-10-2024,880
23-10-2024,877.65
22-10-2024,879.5
21-10-2024,903.3
18-10-2024,910.15
17-10-2024,891.6
16-10-2024,907.45
15-10-2024,917.3
14-10-2024,928.25
11/10/24,930.7
10/10/24,928.5
9/10/24,939.15
8/10/24,919.8
7/10/24,927.85
4/10/24,930.75
3/10/24,925.7
1/10/24,965.2
30-09-2024,974.65
27-09-2024,993
26-09-2024,993.15
25-09-2024,963.6
24-09-2024,977.3
23-09-2024,971.8
20-09-2024,970.85
19-09-2024,967
18-09-2024,962.05
17-09-2024,974.95
16-09-2024,988.4
13-09-2024,992.1
12/9/24,986.15
11/9/24,976.3
10/9/24,"1,035.80"
9/9/24,"1,038.70"
6/9/24,"1,049.35"
5/9/24,"1,069.15"
4/9/24,"1,080.45"
3/9/24,"1,085.10"
2/9/24,"1,092.65"
30-08-2024,"1,111.35"
29-08-2024,"1,121.65"
28-08-2024,"1,074.55"
27-08-2024,"1,077.25"
26-08-2024,"1,092.40"
23-08-2024,"1,085.15"
22-08-2024,"1,068.45"
21-08-2024,"1,085.20"
20-08-2024,"1,086.90"
19-08-2024,"1,087.70"
16-08-2024,"1,098.35"
14-08-2024,"1,062.35"
13-08-2024,"1,053.45"
12/8/24,"1,076.15"
9/8/24,"1,068.10"
8/8/24,"1,041.75"
7/8/24,"1,025.30"
6/8/24,"1,013.75"
5/8/24,"1,016.45"
2/8/24,"1,096.65"
1/8/24,"1,144.40"
31-07-2024,"1,156.65"
30-07-2024,"1,161.85"
29-07-2024,"1,124.00"
26-07-2024,"1,118.30"
25-07-2024,"1,090.95"
24-07-2024,"1,027.70"
23-07-2024,"1,001.80"
22-07-2024,"1,003.15"
19-07-2024,990
18-07-2024,"1,024.55"
16-07-2024,"1,021.15"
15-07-2024,"1,024.45"
12/7/24,"1,016.75"
11/7/24,"1,020.80"
10/7/24,"1,005.50"
9/7/24,"1,014.95"
8/7/24,"1,002.60"
5/7/24,993.65
4/7/24,998.2
3/7/24,975.65
2/7/24,981.3
1/7/24,"1,002.05"
28-06-2024,989.75
27-06-2024,972.1
26-06-2024,951.85
25-06-2024,955
24-06-2024,958.05
21-06-2024,961.8
20-06-2024,978.25
19-06-2024,977.35
18-06-2024,985.9
14-06-2024,993.4
13-06-2024,985.85
12/6/24,988.7
11/6/24,987.1
10/6/24,972.15
7/6/24,967.52
6/6/24,935.36
5/6/24,927.09
4/6/24,901.12
3/6/24,947.53
31-05-2024,920.16
30-05-2024,921.11
29-05-2024,940.7
28-05-2024,944.64
27-05-2024,955.55
24-05-2024,957.59
23-05-2024,959.39
22-05-2024,944.59
21-05-2024,948.37
18-05-2024,953.95
17-05-2024,942.79
16-05-2024,933.52
15-05-2024,944.39
14-05-2024,961.68
13-05-2024,956.8
10/5/24,"1,043.43"
9/5/24,"1,027.13"
8/5/24,"1,008.99"
7/5/24,985.51
6/5/24,"1,013.07"
3/5/24,"1,010.28"
2/5/24,"1,024.64"
30-04-2024,"1,004.80"
29-04-2024,997.52
26-04-2024,996.43
25-04-2024,998.17
24-04-2024,988.6
23-04-2024,983.72
22-04-2024,970.55
